"","locality","decimalLatitude","decimalLongitude","locationID","tmp_vatnLnr"
"148","Kalandsvatnet",60.2746535351089,5.39860172597832,"NVE:vatnLnr:2057",2057
"149","Hanangervatnet",58.0811355154721,6.73062644318443,"NVE:vatnLnr:21960",21960
"150","Bolkesjø",59.717935749142,9.260478081512,"NVE:vatnLnr:6126",6126
"151","Follsjå",59.6912886593256,9.23236467857923,"NVE:vatnLnr:32",32
"152","Norsjø",59.2926716049295,9.33213195969389,"NVE:vatnLnr:6",6
"153","Børsesjø",59.2283334451019,9.61656670550763,"NVE:vatnLnr:6573",6573
"154","Sluppan",58.8776138952303,9.3658878382257,"NVE:vatnLnr:128375",128375
"155","Thorsdalstjenna",58.8947230285966,9.29774532824819,"NVE:vatnLnr:8329",8329
"156","Setertjenn",58.8086590765803,9.26568979987865,"NVE:vatnLnr:128415",128415
"157","Vatnebrynnvatnet",59.8790355288474,9.52010109270674,"NVE:vatnLnr:379",379
"158","Asketjern",60.0475572862148,9.87851415227881,"NVE:vatnLnr:198370",198370
"159","Grønmalen",60.4481272995136,10.2598860538564,"NVE:vatnLnr:632",632
"160","Sortungen",60.4289719699728,10.341726970042,"NVE:vatnLnr:631",631
"161","Kjøpangertjørnin",61.815582382372,9.11841643631186,"NVE:vatnLnr:87371",87371
"162","Veslvatnet",61.8064884622,9.02752941093014,"NVE:vatnLnr:32298",32298
"163","Mjøsa",60.734429239263,10.9500213034027,"NVE:vatnLnr:118",118
"164","Kinnlitjernet",60.8862898083494,10.806334632124,"NVE:vatnLnr:4448",4448
"165","Hurdalssjøen",60.3417531670523,11.07276927365,"NVE:vatnLnr:141",141
"166","Bråtevannet",59.7233905525221,11.4437254077614,"NVE:vatnLnr:3279",3279
"167","Glennetjernet",59.6664942200979,10.8597426094734,"NVE:vatnLnr:80721",80721
"168","Haugertjernet",59.5739897452917,10.6749727621157,"NVE:vatnLnr:5777",5777
"169","Arekilen",59.0410407165349,11.0129631651066,"NVE:vatnLnr:153489",153489
"170","Bergsjøen",59.2288992841999,11.332183175029,"NVE:vatnLnr:3499",3499
"171","Ertevannet",59.3231318196368,11.3864970365626,"NVE:vatnLnr:134",134
"172","Stomperudtjernet",59.3232915991081,11.4046556362124,"NVE:vatnLnr:3446",3446
"173","Kallaksjøen",59.6641485435568,11.3914259635154,"NVE:vatnLnr:3317",3317
"174","Godvatnet",65.2728879153712,12.5797014487422,"NVE:vatnLnr:43016",43016
"175","Myrmarkvatnet",65.2915096539418,12.4243566553061,"NVE:vatnLnr:454",454
"176","Horsbergvatnet",65.0701405456468,12.0959060042049,"NVE:vatnLnr:43524",43524
"177","Mølnvatnet",65.2505559509594,12.6935286086831,"NVE:vatnLnr:43054",43054
"178","Diedtjienjaevrie",65.0222424890879,12.6920524556433,"NVE:vatnLnr:440",440
"179","Markavatnet",65.0088682546691,12.0078543968862,"NVE:vatnLnr:43695",43695
"180","Kilsvatnet",65.0098877538391,11.8104312855307,"NVE:vatnLnr:43696",43696
"181","Bogavatnet",64.991641918787,11.931063093462,"NVE:vatnLnr:38660",38660
"182","Haltussvatnet",64.9693351787461,11.8289140224134,"NVE:vatnLnr:38748",38748
"183","Lavatnet",64.9536142357264,11.7712945604781,"NVE:vatnLnr:38784",38784
"184","Honnavatnet",64.4105352143996,10.9062716719029,"NVE:vatnLnr:677",677
"185","Gøllaustjønna",64.445329469756,11.0800158607945,"NVE:vatnLnr:40168",40168
"186","Kvernvikvatnet",64.7341530884292,11.5566551342301,"NVE:vatnLnr:731",731
"187","Urdsvatnet",64.6606213737616,11.4556148848532,"NVE:vatnLnr:39468",39468
"188","Skjerivatnet",64.6100196676581,11.4972447352533,"NVE:vatnLnr:67902",67902
"189","Setervatnet",64.5966326727076,11.1307819567747,"NVE:vatnLnr:39732",39732
"190","Spillumsvatnet",64.4261922344531,11.5677688152052,"NVE:vatnLnr:40207",40207
"191","Barstadvatnet",64.4102227907132,11.5657001986152,"NVE:vatnLnr:40252",40252
"192","Spjøtvatnet",64.3670645136197,11.6175652695195,"NVE:vatnLnr:40440",40440
"193","Gravdalshavet",64.4079102155245,11.7104708719452,"NVE:vatnLnr:40247",40247
